 42071.2021   73534.2882 | Weed Mines | Columbia | NY
 44367.5548   74232.6587 | Lake Clear | Franklin | NY
 41554.2603   74439.6014 | Bloomingburg | Sullivan | NY
 42239.2247   79445.3246 | Dewittville | Chautauqua | NY
 43732.8451   76136.0363 | Ellisburg | Jefferson | NY
 40720.9321   73267.3399 | Brightwaters | Suffolk | NY
 41510.0936   73630.6835 | West Patterson | Putnam | NY
 44909.2160   75028.2640 | Louisville Corner | St. Lawrence | NY
 44148.6744   75111.3068 | Aldrich | St. Lawrence | NY
 44248.3948   75394.9317 | Balmat | St. Lawrence | NY
 44702.0011   74788.5269 | Beechertown | St. Lawrence | NY
 44169.7848   75015.4715 | Benson Mines | St. Lawrence | NY
 44421.7279   75366.0475 | Bigelow | St. Lawrence | NY
 44247.0057   74775.7407 | Brandy Brook | St. Lawrence | NY
 44867.2745   74783.8014 | Brasher Center | St. Lawrence | NY
 44807.5536   74773.8030 | Brasher Falls | St. Lawrence | NY
 44890.0511   74697.9640 | Brasher Iron Works | St. Lawrence | NY
 44408.3933   75593.5589 | Brasie Corners | St. Lawrence | NY
 44531.4487   75662.7354 | Brier Hill | St. Lawrence | NY
 44165.0631   75137.1416 | Briggs | St. Lawrence | NY
 44808.3869   74891.5855 | Brookdale | St. Lawrence | NY
 44705.0600   75159.0933 | Bucks Bridge | St. Lawrence | NY
 44738.3887   74787.1385 | Buckton | St. Lawrence | NY
 44595.6163   75169.0942 | Canton | St. Lawrence | NY
 44629.5037   74767.1362 | Catherineville | St. Lawrence | NY
 44491.1712   75636.6215 | Cedars | St. Lawrence | NY
 44848.9423   75080.7625 | Chase Mills | St. Lawrence | NY
 44286.4502   74663.2351 | Childwold | St. Lawrence | NY
 44781.1702   75196.0410 | Chipman | St. Lawrence | NY
 44442.0021   75756.9034 | Chippewa Bay | St. Lawrence | NY
 44401.4509   75062.4223 | Clare | St. Lawrence | NY
 44334.5064   75026.0313 | Clarksboro | St. Lawrence | NY
 44172.2850   75085.1960 | Coffins Mills | St. Lawrence | NY
 44553.1171   74939.6405 | Colton | St. Lawrence | NY
 44216.7274   74612.9536 | Conifer | St. Lawrence | NY
 44680.3354   74824.6384 | Converse | St. Lawrence | NY
 44242.0060   74884.9126 | Cook Corners | St. Lawrence | NY
 44517.8388   75338.2704 | Coopers Falls | St. Lawrence | NY
 44776.1654   74672.9643 | Coteys Corner | St. Lawrence | NY
 44222.5615   74836.2986 | Cranberry Lake | St. Lawrence | NY
 44577.5607   75066.8676 | Crary Mills | St. Lawrence | NY
 44853.6652   75122.1534 | Dalton Crossing | St. Lawrence | NY
 44469.5059   75142.7043 | Danes Corners | St. Lawrence | NY
 44552.5616   75435.4988 | De Peyster | St. Lawrence | NY
 44498.9499   75342.7152 | De Kalb | St. Lawrence | NY
 44505.0607   75273.8220 | De Kalb Junction | St. Lawrence | NY
 44349.7841   75075.7557 | Degrasse | St. Lawrence | NY
 44408.3948   75152.4262 | Derbys Corners | St. Lawrence | NY
 44838.6641   75040.2047 | Dishaw | St. Lawrence | NY
 44847.8330   75159.3768 | Drews Corner | St. Lawrence | NY
 44482.5609   75300.4899 | East De Kalb | St. Lawrence | NY
 44765.6103   74806.3054 | East Part | St. Lawrence | NY
 44218.1180   75222.4252 | East Pitcairn | St. Lawrence | NY
 44627.0043   75065.2007 | Eben | St. Lawrence | NY
 44540.0608   75236.5975 | Eddy | St. Lawrence | NY
 44600.0601   75634.9568 | Edgewater Park | St. Lawrence | NY
 44324.5058   75251.0404 | Edwards | St. Lawrence | NY
 44522.2829   75593.0085 | Edwardsville | St. Lawrence | NY
 44360.3385   75543.2757 | Elmdale | St. Lawrence | NY
 44295.0614   75367.4326 | Emeryville | St. Lawrence | NY
